"_id","created_on","date_time","node_id","ppl_in","ppl_out"
"ObjectId(""5974d6e3901f02f00d00517a"")","ISODate(""2017-07-24T01:03:00.000+08:00"")","1500831271934","99","0","0"
"ObjectId(""5974d6e5901f02e00d004cb4"")","ISODate(""2017-07-24T01:03:00.000+08:00"")","1500826242151","99","0","0"
"ObjectId(""5974d6e5901f02f00d00517b"")","ISODate(""2017-07-24T01:03:00.000+08:00"")","1500828591089","99","0","0"
"ObjectId(""5974d6e6901f02e00d004cb5"")","ISODate(""2017-07-24T01:03:00.000+08:00"")","1500825942041","99","0","0"
"ObjectId(""5974d6e8901f02f00d00517c"")","ISODate(""2017-07-24T01:03:00.000+08:00"")","1500829491307","99","0","0"
"ObjectId(""5974d6e8901f02e00d004cb6"")","ISODate(""2017-07-24T01:03:00.000+08:00"")","1500828891178","99","0","0"
"ObjectId(""5974d6e9901f023c0e0039b6"")","ISODate(""2017-07-24T01:03:00.000+08:00"")","1500827990829","99","0","0"
"ObjectId(""5974d6e9901f02e00d004cb7"")","ISODate(""2017-07-24T01:03:00.000+08:00"")","1500830371603","99","0","0"
"ObjectId(""5974d6ea901f02f00d00517d"")","ISODate(""2017-07-24T01:03:00.000+08:00"")","1500827442306","99","0","0"
"ObjectId(""5974d6ee901f023c0e0039b7"")","ISODate(""2017-07-24T01:03:00.000+08:00"")","1500826542180","99","0","0"
"ObjectId(""5974d6ee901f02f00d00517e"")","ISODate(""2017-07-24T01:03:00.000+08:00"")","1500825641982","99","0","0"
"ObjectId(""5974d6ee901f023c0e0039b8"")","ISODate(""2017-07-24T01:03:00.000+08:00"")","1500830071505","99","0","0"
"ObjectId(""5974d6ef901f02f00d00517f"")","ISODate(""2017-07-24T01:03:00.000+08:00"")","1500829191283","99","0","0"
"ObjectId(""5974d6ef901f023c0e0039b9"")","ISODate(""2017-07-24T01:03:00.000+08:00"")","1500826842213","99","0","0"
"ObjectId(""5974d6f0901f02040e00505a"")","ISODate(""2017-07-24T01:03:00.000+08:00"")","1500830671702","99","0","0"
"ObjectId(""5974d6f0901f023c0e0039ba"")","ISODate(""2017-07-24T01:03:00.000+08:00"")","1500827142277","99","0","0"
"ObjectId(""5974d6f1901f02040e00505b"")","ISODate(""2017-07-24T01:03:00.000+08:00"")","1500828291029","99","0","0"
"ObjectId(""5974d6f1901f023c0e0039bb"")","ISODate(""2017-07-24T01:03:00.000+08:00"")","1500830971867","99","0","0"
"ObjectId(""5974d6f3901f02000e004d82"")","ISODate(""2017-07-24T01:03:00.000+08:00"")","1500831368135","114","0","0"
"ObjectId(""5974d6f9901f023c0e0039bc"")","ISODate(""2017-07-24T01:03:00.000+08:00"")","1500831374202","109","0","0"
"ObjectId(""5974d720901f02000e004d86"")","ISODate(""2017-07-24T01:04:00.000+08:00"")","1500831412900","112","0","0"
"ObjectId(""5974d738901f02e00d004cba"")","ISODate(""2017-07-24T01:04:00.000+08:00"")","1500831436404","111","0","0"
"ObjectId(""5974d779901f023c0e0039c5"")","ISODate(""2017-07-24T01:06:00.000+08:00"")","1500831501740","101","0","0"
"ObjectId(""5974d78a901f02e00d004cbc"")","ISODate(""2017-07-24T01:06:00.000+08:00"")","1500831518939","110","0","0"
"ObjectId(""5974d7bf901f022c0e00840f"")","ISODate(""2017-07-24T01:07:00.000+08:00"")","1500831572021","99","0","0"
"ObjectId(""5974d81f901f022c0e008411"")","ISODate(""2017-07-24T01:08:00.000+08:00"")","1500831668152","114","0","0"
"ObjectId(""5974d825901f023c0e0039cc"")","ISODate(""2017-07-24T01:08:00.000+08:00"")","1500831674287","109","0","0"
"ObjectId(""5974d84c901f02e00d004cc2"")","ISODate(""2017-07-24T01:09:00.000+08:00"")","1500831712999","112","0","0"
"ObjectId(""5974d863901f02e00d004cc3"")","ISODate(""2017-07-24T01:09:00.000+08:00"")","1500831736494","111","0","0"
